DataHora;Satelite;Pais;Estado;Municipi;Bioma;DiaSemCh;Precipit;RiscoFog;Latitude;Longitud;AreaIndu;FRP
2018/12/17 17:24:00;NPP-375;Brasil;PARA;JURUTI;Amazonia;0;0;0;"-2,23882";"-55,86808";;78.3
2018/12/17 17:24:00;NPP-375;Brasil;PARA;JURUTI;Amazonia;0;0;0;"-2,24115";"-55,8587";;10.4
2018/12/17 17:24:00;NPP-375;Brasil;PARA;JURUTI;Amazonia;0;0;0;"-2,24154";"-56,00602";;5.4
2018/12/17 17:24:00;NPP-375;Brasil;PARA;JURUTI;Amazonia;0;0;0;"-2,2424";"-55,93934";;37.8
2018/12/17 17:24:00;NPP-375;Brasil;PARA;JURUTI;Amazonia;0;0;0;"-2,24254";"-55,86754";;78.3
2018/12/17 17:24:00;NPP-375;Brasil;PARA;JURUTI;Amazonia;0;0;0;"-2,24625";"-55,867";;6.7
2018/12/17 17:24:00;NPP-375;Brasil;PARA;JURUTI;Amazonia;0;0;0;"-2,24678";"-55,94314";;37.8
2018/12/17 17:24:00;NPP-375;Brasil;PARA;JURUTI;Amazonia;0;0;0;"-2,25067";"-55,87092";;6.7
2018/12/17 17:24:00;NPP-375;Brasil;PARA;JURUTI;Amazonia;0;0;0;"-2,25271";"-55,88404";;13
2018/12/17 17:24:00;NPP-375;Brasil;PARA;JURUTI;Amazonia;0;0;0;"-2,25439";"-55,8704";;57.5
2018/12/17 17:24:00;NPP-375;Brasil;PARA;JURUTI;Amazonia;0;0;0;"-2,25507";"-55,8748";;15.6
2018/12/17 17:24:00;NPP-375;Brasil;PARA;JURUTI;Amazonia;0;0;0;"-2,26015";"-55,88301";;10.2
2018/12/17 17:24:00;NPP-375;Brasil;PARA;JURUTI;Amazonia;0;0;0;"-2,26079";"-56,15217";;9
2018/12/17 17:24:00;NPP-375;Brasil;PARA;JURUTI;Amazonia;0;0;0;"-2,26083";"-56,1507";;8.8
2018/12/17 17:24:00;NPP-375;Brasil;PARA;SANTAREM;Amazonia;0;0;0;"-2,26629";"-55,55293";;8.9
2018/12/17 17:24:00;NPP-375;Brasil;PARA;SANTAREM;Amazonia;0;0;0;"-2,26736";"-55,55641";;8.8
2018/12/17 17:24:00;NPP-375;Brasil;PARA;JURUTI;Amazonia;0;0;0;"-2,2776";"-55,79898";;7.5
2018/12/17 17:24:00;NPP-375;Brasil;PARA;SANTAREM;Amazonia;0;0;0;"-2,27801";"-55,55014";;4.3
2018/12/17 17:24:00;NPP-375;Brasil;PARA;JURUTI;Amazonia;0;0;0;"-2,27896";"-55,80783";;2.4
2018/12/17 17:24:00;NPP-375;Brasil;PARA;SANTAREM;Amazonia;0;0;0;"-2,28069";"-55,5461";;13.2
2018/12/17 17:24:00;NPP-375;Brasil;PARA;JURUTI;Amazonia;0;0;0;"-2,28435";"-55,74334";;6.5
2018/12/17 17:24:00;NPP-375;Brasil;PARA;JURUTI;Amazonia;0;0;0;"-2,28745";"-55,83833";;48
2018/12/17 17:24:00;NPP-375;Brasil;PARA;JURUTI;Amazonia;0;0;0;"-2,28813";"-55,84276";;4.6
2018/12/17 17:24:00;NPP-375;Brasil;PARA;JURUTI;Amazonia;0;0;0;"-2,29117";"-55,83778";;48
2018/12/17 17:24:00;NPP-375;Brasil;PARA;JURUTI;Amazonia;0;0;0;"-2,2942";"-55,78285";;3.8
2018/12/17 17:24:00;NPP-375;Brasil;PARA;SANTAREM;Amazonia;0;0;0;"-2,30227";"-55,5849";;3
2018/12/17 17:24:00;NPP-375;Brasil;PARA;SANTAREM;Amazonia;0;0;0;"-2,30278";"-55,61274";;9.8
2018/12/17 17:24:00;NPP-375;Brasil;PARA;JURUTI;Amazonia;0;0;0;"-2,30607";"-55,7856";;4
2018/12/17 17:24:00;NPP-375;Brasil;PARA;JURUTI;Amazonia;0;0;0;"-2,30714";"-55,78621";;4.8
2018/12/17 17:24:00;NPP-375;Brasil;PARA;SANTAREM;Amazonia;0;0;0;"-2,31103";"-55,61617";;3.3
2018/12/17 17:24:00;NPP-375;Brasil;PARA;SANTAREM;Amazonia;0;0;0;"-2,3148";"-55,61561";;2.7
2018/12/17 17:24:00;NPP-375;Brasil;PARA;SANTAREM;Amazonia;0;0;0;"-2,31763";"-55,78012";;3.1
2018/12/17 17:24:00;NPP-375;Brasil;PARA;SANTAREM;Amazonia;0;0;0;"-2,32089";"-55,75232";;40.7
2018/12/17 17:24:00;NPP-375;Brasil;PARA;SANTAREM;Amazonia;0;0;0;"-2,32136";"-55,77956";;3.1
2018/12/17 17:24:00;NPP-375;Brasil;PARA;SANTAREM;Amazonia;0;0;0;"-2,32159";"-55,75677";;11.8
